transp_Bizr_Id,vehc_Id,vehc_Lcns_No,actual_vehc_Lcns_No,depot_Id,Seat,Stand,Deck,body_Bus_No,top_Up_Thold,alert_Thold,max_Quota_Etm,use_Yn
110100001,10097,WPX1097,WPX1097,BCV,39,20,Single,M092,2000,100,3500,Y
110100001,10098,WPX1120,WPX1120,BCV,39,20,Single,M248,2000,100,3500,Y
110100001,10099,WPX1131,WPX1131,BCV,39,20,Single,M100,2000,100,3500,Y
110100001,10100,WPX1142,WPX1142,BCV,39,20,Single,M093,2000,100,3500,Y
110100001,10103,WPX4241,WPX4241,BCV,39,20,Single,M075,2000,100,3500,Y
110100001,10105,WPX4244,WPX4244,BCV,39,20,Single,M077,2000,100,3500,Y
110100001,10107,WPY7751,WPY7751,BCV,39,20,Single,M057,2000,100,3500,Y
110100001,10111,WQA1334,WQA1334,BCV,39,20,Single,M056,2000,100,3500,Y
110100001,10113,WQA142,WQA142,BCV,39,20,Single,M068,2000,100,3500,Y
110100001,10117,WQA3137,WQA3137,BCV,39,20,Single,M245,2000,100,3500,Y
110100001,10119,WQA3216,WQA3216,BCV,39,20,Single,M246,2000,100,3500,Y
110100001,10127,WQA7095,WQA7095,BCV,39,20,Single,M069,2000,100,3500,Y
110100001,10132,WQB1858,WQB1858,BCV,39,20,Single,M241,2000,100,3500,Y
110100001,10138,WQB278,WQB278,BCV,39,20,Single,M307,2000,100,3500,Y
110100001,10139,WQB290,WQB290,BCV,39,20,Single,M062,2000,100,3500,Y
110100001,10141,WQB3094,WQB3094,BCV,39,20,Single,MA4,2000,100,3500,Y
110100001,10144,WQB3124,WQB3124,BCV,39,20,Single,M063,2000,100,3500,Y
110100001,10148,WQB3466,WQB3466,BCV,39,20,Single,M054,2000,100,3500,Y
110100001,10152,WQC1844,WQC1844,BCV,39,20,Single,M054,2000,100,3500,Y
110100001,10166,XBM3643,WB3643M,BCV,29,30,Single,SD19,2000,100,3500,Y
110100001,10167,WQE2150,WQE2150,BCV,39,20,Single,M252,2000,100,3500,Y
110100001,10168,WQE2155,WQE2155,BCV,39,20,Single,M255,2000,100,3500,Y
110100001,10171,WQT9844,WQT9844,BCV,39,20,Single,OK5,2000,100,3500,Y
110100001,10205,WPL4837,WPL4837,BCV,37,28,Single,,2000,100,3500,Y
110100001,10214,WPL4989,WPL4989,BCV,37,28,Single,,2000,100,3500,Y
110100001,10217,WPL5006,WPL5006,BCV,37,28,Single,,2000,100,3500,Y
110100001,10220,WPL5045,WPL5045,BCV,37,28,Single,,2000,100,3500,Y
110100001,10225,WPL5652,WPL5652,BCV,37,28,Single,,2000,100,3500,Y
110100001,10227,WPL9341,WPL9341,BCV,37,28,Single,,2000,100,3500,Y
110100001,10228,WPL9351,WPL9351,BCV,37,28,Single,,2000,100,3500,Y
110100001,10229,WPL9364,WPL9364,BCV,37,28,Single,,2000,100,3500,Y
110100001,10232,WPM2596,WPM2596,BCV,37,28,Single,,2000,100,3500,Y
110100001,10237,WPM403,WPM403,BCV,37,28,Single,,2000,100,3500,Y
110100001,10241,WPM421,WPM421,BCV,37,28,Single,,2000,100,3500,Y
110100001,10246,WPM430,WPM430,BCV,37,28,Single,,2000,100,3500,Y
